PM10,EPA_index,CO,temperature,humidity,PM25_lag_1,PM25_lag_2,PM25_lag_3,PM25_rolling_mean_3,PM10_rolling_mean_3,CO_rolling_mean_3,PM25_rolling_mean_6,PM10_rolling_mean_6,CO_rolling_mean_6,PM25_rolling_mean_12,PM10_rolling_mean_12,CO_rolling_mean_12
28.4,1,714.3,26.3,81,29.1,23.8,27.1,21.03333333333333,44.0,1346.2666666666664,28.53333333333333,54.28333333333333,1634.45,29.3,54.75,1672.825
64.7,3,2483.4,30.4,70,10.2,29.1,23.8,26.73333333333333,50.96666666666667,1653.3666666666668,26.96666666666667,51.48333333333333,1612.2,30.083333333333332,55.14166666666667,1740.7
61.3,2,1495.4,31.3,66,40.9,10.2,29.1,27.066666666666663,51.46666666666666,1564.3666666666668,26.86666666666667,52.06666666666666,1572.1499999999999,30.950000000000003,56.958333333333336,1769.6333333333332
41.3,2,1054.8,29.1,66,30.1,40.9,10.2,29.06666666666666,55.76666666666667,1677.8666666666666,25.049999999999997,49.88333333333333,1512.0666666666668,30.133333333333336,56.383333333333326,1737.3666666666666
38.1,2,1121.5,31.0,63,16.2,30.1,40.9,21.16666666666666,46.9,1223.8999999999999,23.95,48.93333333333334,1438.6333333333334,27.88333333333333,53.34166666666667,1588.2749999999999
41.5,2,1695.6,29.1,79,17.2,16.2,30.1,18.699999999999992,40.300000000000004,1290.6333333333332,22.88333333333333,45.88333333333333,1427.5,26.816666666666663,51.40833333333333,1576.0333333333335
38.9,2,1375.2,29.1,79,22.7,17.2,16.2,20.399999999999995,39.5,1397.4333333333332,24.73333333333333,47.63333333333333,1537.6500000000003,26.63333333333333,50.958333333333336,1586.05
32.5,2,1094.8,29.2,79,21.3,22.7,17.2,20.16666666666666,37.63333333333333,1388.533333333333,20.666666666666668,42.266666666666666,1306.2166666666667,23.816666666666663,46.875,1459.2083333333333
43.1,2,1401.9,27.9,68,16.5,21.3,22.7,19.233333333333327,38.166666666666664,1290.6333333333334,18.96666666666667,39.233333333333334,1290.6333333333332,22.916666666666668,45.65,1431.3916666666667
33.6,1,1041.4,26.7,76,19.9,16.5,21.3,17.266666666666662,36.4,1179.3666666666668,18.833333333333332,37.949999999999996,1288.4,21.941666666666666,43.916666666666664,1400.2333333333333
